EncryptedID,Semester,GPA,TC qua,Acc
0502e85f2ba6a106e371e38bb6d2e37744c72211a9e0c154ea9228990c3adbc8,8,4.0,10,127
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,1,3.0,12,12
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,2,2.5,14,26
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,3,3.28,18,44
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,4,3.6,20,64
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,5,3.89,19,83
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,6,3.85,20,103
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,7,4.0,20,123
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,8,3.78,20,143
0515f449a6035550841c4e1b69bdf5da25711e00a34c1df57ec07593a5ad7136,9,4.0,12,155
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,1,1.14,10,10
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,2,1.27,11,21
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,3,1.36,12,35
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,4,0.96,6,41
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,5,2.8,13,50
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,6,2.91,17,67
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,7,3.47,17,87
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,8,3.24,17,104
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,9,3.46,13,119
052aee6b05905bbcb723cb1ea6e60a9304c08c7b1d52b4bb949d60005ca1a53c,10,4.0,6,125
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,1,2.71,14,14
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,2,2.5,11,25
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,3,3.0,19,46
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,4,2.42,18,64
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,5,2.94,16,80
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,6,3.07,21,101
0560785f5511040384b2a56d65600f88a0feeef73d3fe09a40a4f125ba9b8651,7,3.69,16,117
