EncryptedID,GPA_1,GPA_2,GPA_3,GPA_4,GPA_5,GPA_6,GPA_7,GPA_8,GPA_9,GPA_10,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,Final CPA
23e4b0fea4ddbcbe2f8e65235d62d84d79a8b407ae7c7db878f7ef64aca8e9da,1.92,1.09,2.58,2.5,2.15,2.75,1.88,3.78,3.64,4.0,12.0,9.0,19.0,11.0,17.0,20.0,10.0,23.0,14.0,9.0,2.73
23e4bed260b834defde3c17d13423cdfd4a3fd011be9fef9da5662c85562cb6a,2.5,3.23,3.0,2.0,2.0,2.73,2.9,2.62,3.4,3.5,12.0,11.0,22.0,16.0,16.0,19.0,15.0,12.0,15.0,15.0,2.78
24432a216f05bcf417427d8cb8d3d35ec0cb9cfb308594e9db199fed84dace10,2.42,3.0,2.66,2.12,2.12,2.53,2.94,3.42,3.5,4.0,12.0,11.0,22.0,13.0,17.0,16.0,18.0,13.0,12.0,9.0,2.8
251e8c339a4dc75f6db9db3dfc83beda314f0007654edf5de95f0860eb25eec6,3.5,2.92,3.38,2.71,3.29,2.75,1.87,3.39,3.15,4.0,12.0,13.0,20.0,18.0,17.0,18.0,11.0,14.0,13.0,9.0,3.08
25ba2d2e711cd86410157e3ce9c30799cdb761996a0293030f88fa5631c8a482,2.33,2.05,3.07,2.41,2.5,3.15,3.37,3.35,3.6,3.62,12.0,11.0,22.0,16.0,15.0,20.0,19.0,20.0,10.0,12.0,2.98
2618df4c9dfe3394ffceb9d139429cd028995e9031e6b37961090e362f1c3550,1.0,1.82,2.37,1.41,1.5,2.27,2.91,2.87,3.09,3.31,8.0,11.0,19.0,16.0,14.0,19.0,22.0,19.0,17.0,16.0,2.38
266e16a1ac8170bc890101ad30e917e21626a5c21b2afed4a7c960ba9f003dfb,2.83,2.86,3.45,3.63,2.89,3.25,3.81,3.83,4.0,4.0,12.0,11.0,19.0,19.0,23.0,18.0,16.0,18.0,10.0,9.0,3.42
2794976dcb201211d38fa65b5465188274c0850a06f0f7695cb3f01aed0676a5,2.58,2.42,2.18,2.67,3.4,2.29,2.83,2.58,1.75,3.5,12.0,13.0,17.0,15.0,24.0,19.0,21.0,16.0,5.0,12.0,2.7
28488f1e16175efc333cb87d3e0262593683270e91d64639b8d195286ba2b130,3.17,1.95,3.0,1.62,2.86,3.05,2.86,3.72,3.6,3.82,12.0,11.0,22.0,10.0,18.0,20.0,22.0,18.0,10.0,11.0,3.0
286b721b85babc945fd2c800d81fb6b5831b251a98c655522293d834a40ed8c9,1.75,1.17,3.1,3.35,2.14,2.81,2.57,3.12,3.44,3.62,12.0,9.0,15.0,17.0,21.0,18.0,21.0,16.0,9.0,12.0,2.73
288f28f53ca7f2dc383cbe8caf197853f40b597289606c97cfffb833028e2b7c,3.5,3.21,3.21,3.44,3.12,3.79,3.5,3.0,3.23,3.43,12.0,12.0,17.0,17.0,20.0,19.0,18.0,8.0,13.0,12.0,3.37
28d4e00a14b8784e72ae6a4bc49aa6694107001a72508de1431b708287f6d8d1,2.08,2.05,2.5,2.85,2.5,3.02,3.5,3.82,3.44,4.0,12.0,9.0,17.0,17.0,18.0,23.0,18.0,17.0,16.0,12.0,3.02
29939841a25d828b35131b445c73a2e97cea1a13f0b8ff09f83140b05cf93259,2.67,0.92,2.58,3.12,2.45,3.39,3.69,2.54,3.31,3.5,12.0,8.0,18.0,17.0,20.0,22.0,18.0,14.0,13.0,9.0,2.91
29e7fff3246a82807850f11dc620fdf37a4bf56e8a6f49d6d414028615b17e6d,2.25,0.92,2.1,1.71,1.98,3.25,3.5,2.42,2.13,3.19,12.0,9.0,12.0,14.0,20.0,18.0,19.0,14.0,12.0,16.0,2.46
2a23edd48cf9d6b034457e5bee18e4c255bd5026cbfdfb3776d3f875f11e7438,2.08,0.55,2.68,2.3,2.08,2.29,2.29,3.21,3.6,4.0,12.0,3.0,19.0,15.0,17.0,16.0,19.0,24.0,10.0,12.0,2.64
2a65767279260746eda104f9699654e11657550ea3489e1e21d123dcfcfd824b,2.5,3.09,3.18,3.19,2.83,2.79,3.31,3.55,3.83,3.5,12.0,11.0,22.0,16.0,18.0,16.0,18.0,22.0,6.0,9.0,3.15
2a75ae3faa1180fe145f71ac877444968284a3521f78eb0c9fbe603bd9770651,2.75,2.62,3.1,1.82,1.26,2.87,2.5,2.02,2.81,3.82,12.0,12.0,15.0,14.0,8.0,23.0,17.0,15.0,18.0,11.0,2.61
2acefb28087c724647e1d94ced91e5df955826c022ca407c976139ab2ffa57ad,2.25,2.73,2.4,3.42,2.33,3.43,4.0,3.33,3.77,3.64,12.0,10.0,15.0,12.0,18.0,21.0,12.0,18.0,13.0,11.0,3.11
2c2bf60b02acde517ecebdde081395b5c596acbdea824ff0b941bd086bc5d4b7,3.33,3.27,3.59,3.29,2.64,3.88,3.41,3.87,3.88,4.0,12.0,11.0,22.0,17.0,20.0,24.0,20.0,23.0,8.0,9.0,3.5
2c584e1e56a04d9935e4961e62e1c923df753019b88e6370fa58ed0871ead3a2,2.5,2.23,1.59,2.64,2.82,2.44,3.34,3.29,3.23,4.0,12.0,13.0,17.0,18.0,19.0,18.0,19.0,14.0,13.0,9.0,2.75
2c955303df5dd6b684e27a8677b975d38fdc0cd3e0fe4cf355fd6b03c0202e6e,2.25,2.23,2.27,2.72,1.83,2.62,3.45,3.36,3.75,4.0,12.0,11.0,22.0,16.0,15.0,18.0,19.0,22.0,8.0,9.0,2.8
2d9efe5b9332de0f7c8d6e665e22cbb038a1d01135757f1e276aba8862fe69d8,2.5,0.64,2.02,2.25,2.18,2.17,2.18,3.43,2.75,2.27,12.0,5.0,19.0,14.0,16.0,18.0,19.0,14.0,16.0,11.0,2.33
2e3f197809da42ad6a5e1640bab902e9de9b6fee7dc9b5c490f50e12fd9378f2,2.75,2.92,3.09,2.94,3.07,3.76,3.73,3.72,3.92,4.0,12.0,12.0,15.0,17.0,21.0,17.0,15.0,16.0,13.0,9.0,3.37
2ebd718a9a3e97843b1704b6129a736fa4a270d0a2b864c8adbc0db03db585a2,2.58,2.75,2.83,2.92,2.8,3.38,3.56,3.8,3.84,4.0,12.0,12.0,18.0,20.0,22.0,20.0,18.0,15.0,16.0,9.0,3.22
2ebe7d9ddf07dd66891bf989f52fe36031c55aea9266981fd39eb4ea87b50193,2.33,1.67,1.83,2.58,2.98,3.92,3.0,3.42,3.56,4.0,12.0,12.0,15.0,17.0,22.0,19.0,20.0,19.0,8.0,9.0,2.93
2efcf2879e62408faaa695785ff7c6d7fdbd34124c03bb3cf01a05eb7a20161f,1.5,1.91,2.27,2.86,2.5,2.95,3.0,3.29,3.07,4.0,12.0,11.0,22.0,14.0,18.0,18.0,18.0,12.0,14.0,11.0,2.72
2f1b0ec7eeaf7578a753fbe20730a981d1436fcf87f7a5c46309fd76293dad2d,1.42,1.71,2.5,2.44,2.5,3.11,2.92,3.29,3.18,4.0,8.0,10.0,15.0,16.0,19.0,18.0,20.0,14.0,11.0,12.0,2.77
2f4e0c3589a2a731685649869881f9ed3a53016bbf56585814f74c2b70bec3e8,1.42,2.05,1.93,1.74,1.9,1.66,2.24,3.05,3.67,4.0,12.0,9.0,22.0,11.0,14.0,13.0,19.0,22.0,12.0,9.0,2.34
2f5052041a117c3136b25e9dadb75e2510237f07db0dd75e305da85e5d0fcc5a,2.75,2.82,3.39,3.44,2.68,3.72,3.05,3.6,4.0,4.0,12.0,11.0,22.0,16.0,14.0,20.0,19.0,20.0,8.0,9.0,3.33
2fac0dfffa74d2ece91b3e7d0093fb476bb5a238ac1e517436c73370e493b163,2.83,2.41,3.07,2.25,2.64,2.33,2.76,2.07,3.83,3.38,12.0,11.0,22.0,13.0,18.0,15.0,21.0,8.0,23.0,12.0,2.86
312165ba0c1e5021fbbcda3f7a4ff20d7b2bef579fb70076e57bd80d1b9d4ef0,3.42,2.54,3.24,3.22,2.68,3.21,3.0,3.28,2.25,4.0,12.0,12.0,17.0,16.0,17.0,19.0,12.0,18.0,9.0,12.0,3.11
31f61089ef8c38d05363432647643ff9d3335b64c5a2b57def274e5fef7f6593,1.5,1.75,2.58,2.15,2.71,3.35,3.25,2.93,2.5,2.5,12.0,12.0,18.0,14.0,21.0,23.0,24.0,22.0,8.0,12.0,2.66
347197094ca87401b6aabb728a0005087f84c4b370c0a9bf1b09fc883f7e66d0,2.58,1.85,3.24,2.82,2.98,3.1,3.55,3.56,3.5,4.0,12.0,10.0,17.0,16.0,22.0,21.0,21.0,18.0,2.0,12.0,3.14
